time,CWND
28.471462,2.00
28.471768,2.50
28.486680,3.00
28.499999,3.50
28.741783,1.00
28.868862,1.00
29.073386,1.00
29.085261,2.00
29.358179,1.00
29.374711,2.00
29.387198,2.50
29.387981,3.00
29.401642,3.50
29.401728,4.00
29.416366,4.50
29.417156,5.00
29.708799,1.00
29.861811,1.00
29.873657,2.00
30.106095,1.00
30.416739,1.00
30.416884,1.00
30.416953,1.00
31.107783,1.00
31.416355,1.00
31.416509,1.00
31.416571,1.00
31.428577,2.00
31.442899,2.50
31.444874,3.00
31.455322,3.50
31.456420,4.00
31.456539,4.50
31.467860,5.00
31.470115,5.50
31.471271,6.00
31.484030,6.50
31.485189,7.00
31.496095,7.50
31.543128,1.00
31.555327,2.00
31.572260,1.00
31.616272,1.00
31.635312,2.00
31.648539,2.50
32.015437,1.00
32.203916,1.00
32.501751,1.00
32.513485,2.00
32.527437,2.50
32.540413,3.00
32.554651,3.50
32.567342,4.00
32.766767,1.00
32.872843,1.00
32.885001,2.00
33.031865,1.00
33.282348,1.00
33.567750,1.00
34.032598,1.00
34.283263,1.00
34.567898,1.00
35.032662,1.00
35.048371,2.00
35.568043,1.00
35.580041,2.00
35.764502,1.00
35.778465,2.00
36.581586,1.00
36.581770,1.00
36.778119,1.00
37.583252,1.00
37.583424,1.00
37.595575,2.00
37.609841,2.50
38.241351,1.00
38.562992,1.00
38.574860,2.00
39.576395,1.00
39.576574,1.00
39.576652,1.00
39.591666,2.00
39.591764,2.50
40.593386,1.00
40.593606,1.00
40.593679,1.00
40.605294,2.00
41.595363,1.00
41.604780,1.00
41.604959,1.00
41.607284,2.00
41.618794,2.50
41.620845,3.00
41.634357,3.50
42.622767,1.00
42.634207,1.00
42.634405,1.00
42.634466,1.00
42.646669,2.00
43.635993,1.00
43.646331,1.00
43.646502,1.00
43.657879,2.00
44.659326,1.00
44.659528,1.00
44.659595,1.00
45.660744,1.00
45.660927,1.00
45.661005,1.00
46.661487,1.00
46.661695,1.00
46.661794,1.00
46.672848,2.00
46.687439,2.50
46.688386,3.00
46.699598,3.50
47.417312,1.00
47.428100,2.00
47.688503,1.00
47.688674,1.00
47.698837,1.00
47.703782,2.00
47.709776,2.50
48.705656,1.00
48.705909,1.00
48.709140,1.00
49.707384,1.00
49.707545,1.00
49.708783,1.00
49.719585,2.00
50.720693,1.00
50.720821,1.00
50.720878,1.00
50.733440,2.00
51.734647,1.00
51.734725,1.00
51.734751,1.00
52.735896,1.00
52.736002,1.00
52.736028,1.00
52.747755,2.00
53.749046,1.00
53.749267,1.00
53.749375,1.00
53.761394,2.00
53.774888,2.50
54.762789,1.00
54.762876,1.00
54.775011,1.00
55.764405,1.00
55.764510,1.00
55.774694,1.00
55.776080,2.00
55.779175,2.50
55.789175,3.00
56.777668,1.00
56.778974,1.00
56.788607,2.00
56.788689,1.00
56.788726,1.00
57.789915,1.00
57.790059,1.00
57.790272,1.00
57.801477,2.00
58.802969,1.00
58.803305,1.00
58.803476,1.00
58.814294,2.00
58.828913,2.50
59.463827,1.00
59.787438,1.00
59.798888,2.00
59.828322,1.00
59.841517,2.00
60.351335,1.00
60.668997,1.00
60.683378,2.00
60.841862,1.00
60.853609,2.00
61.684674,1.00
61.684881,1.00
61.700898,2.00
61.853404,1.00
62.702507,1.00
62.702729,1.00
62.716307,2.00
62.731021,2.50
62.744944,3.00
62.745120,3.50
62.758312,4.00
62.759182,4.50
63.054705,1.00
63.209183,1.00
63.454434,1.00
63.758002,1.00
63.759343,1.00
63.769966,2.00
64.771856,1.00
64.772037,1.00
64.772114,1.00
65.773407,1.00
65.773520,1.00
65.773567,1.00
66.774755,1.00
66.774932,1.00
66.774998,1.00
67.776180,1.00
67.776387,1.00
67.776459,1.00
68.777370,1.00
68.777574,1.00
68.777682,1.00
69.778874,1.00
69.779037,1.00
69.779120,1.00
69.790479,2.00
70.790885,1.00
70.791044,1.00
70.791086,1.00
70.802815,2.00
70.814950,2.50
71.804222,1.00
71.804364,1.00
71.814594,1.00
72.805305,1.00
72.805460,1.00
72.814672,1.00
72.820364,2.00
73.816603,1.00
73.819887,1.00
73.820026,1.00
74.817257,1.00
74.819413,1.00
74.819509,1.00
74.829782,2.00
75.831304,1.00
75.831497,1.00
75.831581,1.00
75.846363,2.00
76.833567,1.00
76.845831,1.00
76.845999,1.00
77.835059,1.00
77.845607,1.00
77.845788,1.00
77.856941,2.00
77.869667,2.50
